title,sold_price,link,sold_date,size,condition
yeezy boost 350 bb5350 size 10,$202.50,https://www.ebay.com/itm/336104633458?_skw=adidas+yeezy+350&epid=2310847787&itmmeta=01k2f8dszgyrrtz56szra7njqh&hash=item4e4165b472:g:ehmaaeswdvtojq9c&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1cqouuyjxzsopjw3haroryzdyve%2bvlejgws8xohpzx3nwk7axlef559muqqozobzk8mfj1bxkaf5klvhhmesdoisw3yynyk%2bq6ur557nlk729o4hxarhcw6qcpxzm9jyn26xptn4al5cohduy%2fhqwwgv6rridhu%2bo81xhcmwkempuy1by1ooeh0o1y%2fesfvriocftwa2tqt6ybaex6ghx%2flarvgadzrn8qt9hby6vwanifaxe4mz90jbtklvt9drx%2bzocwnb9klixigwc5csnafegow9ag3d9cyh4a7ofv63w%3d%3d%7ctkp%3abk9sr4agt-itzg,"Aug 9, 2025",10.0,Brand New
adidas yeezy boost 350 v2 mono ice size 10 🧊,$140.00,https://www.ebay.com/itm/365722812436?_skw=adidas+yeezy+350&epid=18045640606&itmmeta=01k2f8dszg6bxh06sqsyywb51k&hash=item5526c74014:g:5bsaaesw~h1ochbn&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1egny%2fbm%2b6xsdwswazl7tsuigm5aj41ja9sefgdokyupp29k8exkhfe%2fp1dgn1ymlotwcymorukhupmg3s18f9pepmewwbkb4usgrw6iepsjs%2fgk3nzsytzy5zcd%2fx%2fobb%2ff8whynohq3yzvyqgwoyu8kdb3wly1%2f%2bjuzjgaya1mtx2d%2f3iu5zsfzpkda3hjtrigx7njjk1ws9o1ycfrskdxkj21lafm6hgnv3e%2fplu2fz0eqwtwqdspjz8lo0wxt8jinl3y7ds8vttoogtjiqmqu%2fuyv1crlcnncb9jdxvpa%3d%3d%7ctkp%3abk9sr4igt-itzg,"Aug 9, 2025",10.0,Pre-Owned ·
yeezy  350 v2 static size 10,$23.50,https://www.ebay.com/itm/127285990895?_skw=adidas+yeezy+350&epid=20039806120&itmmeta=01k2f8ee104qjf5cgxs16a467b&hash=item1da2d615ef:g:vzsaaeswyyhoj65p&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1dscqzzq85dgbugsq7%2bjywyposliqhrdstnyahngj9iwwhdmtbxlvbwjoygr1xfpbbcxb96dxrk3ckifomkpqjgemcflfdumaomkwofdrr%2bh%2fg4r78isf9ipty3tpbwpht%2f59lzkifntt%2fbg6pdxwdsrwfhbfiuiwhbmf3tjcfxqppeemqo0poitdixhopjrdcxk5bshe23pq1q3o7fgfsflfhwwabyoebp3o293tz9atcptij9%2bgu4wjlybfjwuzs0ybvhoovno5aeuji1vdc3aynm%2fwak56yabrp8skjyca%3d%3d%7ctkp%3abk9sr9zgueitzg,"Aug 8, 2025",10.0,Pre-Owned ·
size 10m/11.5w - adidas yeezy boost 350 v2 cinder fy2903,$240.90,https://www.ebay.com/itm/116721474218?_skw=adidas+yeezy+350&epid=9039797810&itmmeta=01k2f8ee110v0f79vrsbtmvtd0&hash=item1b2d245aaa:g:rlkaaeswh1zokq31&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1efpzpiv2zzurg7grpqomhhhjeuprzgloihpaitvzl4vwcjlugdaopzixmnziyev48nrwdfbloebesj5vlk3hpyarjiakp9usioh2plzxmihv6hbrfjzzvtdmzg%2bj%2fweo8kdykrc%2foc6ppgcukjqhby0mwitgb%2fhvgpgmbu1aokydgxyzwdju1vd99ylwmb8c9r8qdmlvjtoig9evjp6bq0yrmjf7xa9fwqnf8gi0giwhb02gwg1zmbrsmiqecnj48%3d%7ctkp%3abk9sr-dgueitzg,"Aug 8, 2025",10.0,Brand New
yeezy boost 350 sesame size 10 preowned,$65.00,https://www.ebay.com/itm/177295824217?_skw=adidas+yeezy+350&epid=6039811754&itmmeta=01k2f8ee11d298h9b8xm6r43d8&hash=item2947a79559:g:zwkaaeswkxvogqxp&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1diilocs5quhv0k1gsodrn%2fe77rz7btnbnaa6gsc0dwltye7bwuwe02l9dykmsbhat0jbcodddhqj3knaq1thoeffoyoi1xy06qnswrfyrp%2bnq8mule6qg7ifsdvqytzrtiuqjqpagbsyf4pajlwjxd%2fnp2amxsnyrhzl3uo5kzbhce06tgw7azcor2mmvmqgp9kxfp8oku97ixds8fjv4h1z84mrnhxlxnq5ld7q0ay1bgev%2fevsjdfewo%2fvrpnhk%3d%7ctkp%3abk9sr-dgueitzg,"Aug 8, 2025",10.0,Pre-Owned ·
size 10 - adidas yeezy boost 350 v2 low carbon beluga,$140.00,https://www.ebay.com/itm/316861778167?_skw=adidas+yeezy+350&epid=10059066379&itmmeta=01k2f8ee11yeawj07zs7wkkwkn&hash=item49c66f08f7:g:lc4aaeswc69og7up&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1cndldikjvx2piq1ewe6qf7zqagq5neqepeqc%2bcjlytdho%2fxqztcjrdoiiuhs0bwoflew30tw0vjgpdm%2fj9p%2f8padh7eh37g5thwm9vkdgz1qxju8stnlftszu28dbgavx%2ftgxfnvjc9sfisseni8%2bed7lb1bk756tggy9vs%2f32a0xwmbkcqg9q62i9q%2bswdgcifbwknouq6nkn8lrf4nokliuhj%2bpnk14p3moylk9ve%2bawt3bsiqxarxquk%2fvpw%2f0%3d%7ctkp%3abk9sr-dgueitzg,"Aug 8, 2025",10.0,Pre-Owned ·
adidas yeezy 350 v2 granite hq2059 men’s size 10 brand new! next day shipping!,$230.00,https://www.ebay.com/itm/127243102937?_skw=adidas+yeezy+350&epid=17057885420&itmmeta=01k2f8djy62bjrq54h4vscsstj&hash=item1da047aad9:g:hwqaaoswgxnk5rxg&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1f0mb%2bngqw5k1s%2bjdurc%2fgcjxedzqp08lmypb73leplhi1nyf34v%2fi3cuygdcc4lnafq%2fixroxkjkirvguuqdm3dw5k1j%2bxhzhjelabgm7tz%2bpjcjf%2fu1feiaz3h5o0skdreg6%2fve75qji8hischvbz2hpnnueix3%2bb%2brgal1acufizuewozj9p7%2frma8o%2fvthacjk7zgfny7%2b%2b9luhlwd3%2btphaawl98qo3ptkzfwslcn%2f2ubfdyz7ntd9nkeslj0%3d%7ctkp%3abk9sr7avtuitzg,"Aug 10, 2025",10.0,Brand New
adidas yeezy 350 v2 zebra size 10,$60.01,https://www.ebay.com/itm/127285997621?_skw=adidas+yeezy+350&epid=16039798411&itmmeta=01k2f8djy618x53ng5dp60rbga&hash=item1da2d63035:g:jxeaaeswzjroj68h&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1cx4xzngor8dfquciffhgjqij%2bqh%2beompfzha7rxmg9sliq10rqslmidqcmcwpppbjk%2fl5xcwozzvkc2ltvihsf9%2fscvn%2fqzulip48jowssaoea5yqzuxdjko%2bmhndjzefwwipz1canx7d4wogpvmjnpdsxwtjjjz4ewoydydwtuvkhnvcwgsh2ooryo%2f2xfo1l%2fswrgdtyhmmjlxgffrf3eqmvpxnp0cexbm17wfb3z7mgc7wp7hsgul4htpex98wro6liagagg%2ffap5cfqm0%2fymui6luwqkmavhtlnn5e6q%3d%3d%7ctkp%3abk9sr7avtuitzg,"Aug 10, 2025",10.0,Pre-Owned ·
size 10 us - adidas yeezy boost 350 v2 onyx black hq4540,$236.55,https://www.ebay.com/itm/167602102119?_skw=adidas+yeezy+350&epid=22052578778&itmmeta=01k2f8djy728ta8m7cjaf1ttam&hash=item2705dd1f67:g:1s4aaeswtsjovfsr&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1c3kdhtoyjphfaqkcypt2d0atwx53e4uh3qmnctok9t%2fppzo7m77krhye8q2nczohsg5%2b8%2bktk%2fdqjqiogxf1b3chyswvpgyrqqpb4rbd5r0cnbdzy2qjjeoewhamjl%2fjdtkigwz626pguf6gwxnnqoepyfnqw%2brnhvvii172tjymrwwm8szs8acaespmk6rezby60tsfkqiaooxd%2bpjrxwdkeqklbns%2bbhpr5t6dvkqq202vz22f6fy8jgwvqwfsxhxz8rkotusszp0fkbeja1qfckrm3dfwyvr1onigbb5g%3d%3d%7ctkp%3abk9sr7ivtuitzg,"Aug 10, 2025",10.0,Brand New
"adidas yeezy boost 350 v2 “static” – size 10 – open box, never worn",$140.00,https://www.ebay.com/itm/146758183393?_skw=adidas+yeezy+350&epid=20039806120&itmmeta=01k2f8djy7jh3e49xc1vhfwgbs&hash=item222b7829e1:g:xfaaaeswfx5olmyz&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1e1hjhw%2bxj3vprn3chtlv%2ffenqhv41o0518vj99fvfhdv2p5mbabefmy%2fikalidbygrkakxrv9v%2ftfhgcxcd6%2bnigzwjce9pu8qgk2ubja7rgzpsacqum3bwjopf1do7cozr3j0yihkkdjovulgq6pzeiqmsekl0bxn6bsuxkauzlrujsmk8c%2bceoj7%2bzqb6tpcpoq3iqe4qlqd8expu1m1i15olgjjmsgenap%2fiivbq45dyhryql69fisowgadjwy%3d%7ctkp%3abk9sr7qvtuitzg,"Aug 10, 2025",10.0,Brand New
